open_time,close_time,open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,trade_count
1213574400000,1214179199999,2008-06-16T00:00:00+00:00,2008-06-22T23:59:59.999000+00:00,XAGUSD,1w,16.491,17.681,16.224,17.393,2662.65,0
1214179200000,1214783999999,2008-06-23T00:00:00+00:00,2008-06-29T23:59:59.999000+00:00,XAGUSD,1w,17.359,17.659,16.361,17.502,2639.35,0
1214784000000,1215388799999,2008-06-30T00:00:00+00:00,2008-07-06T23:59:59.999000+00:00,XAGUSD,1w,17.49,18.447,17.055,17.967,2529.2,0
1215388800000,1215993599999,2008-07-07T00:00:00+00:00,2008-07-13T23:59:59.999000+00:00,XAGUSD,1w,17.98,18.897,17.31,18.706,3096.55,0
1215993600000,1216598399999,2008-07-14T00:00:00+00:00,2008-07-20T23:59:59.999000+00:00,XAGUSD,1w,18.699,19.437,17.888,18.07,2905.2,0
1216598400000,1217203199999,2008-07-21T00:00:00+00:00,2008-07-27T23:59:59.999000+00:00,XAGUSD,1w,18.15,18.684,16.897,17.304,2900.2,0
1217203200000,1217807999999,2008-07-28T00:00:00+00:00,2008-08-03T23:59:59.999000+00:00,XAGUSD,1w,17.362,17.886,16.659,17.432,2789,0
1217808000000,1218412799999,2008-08-04T00:00:00+00:00,2008-08-10T23:59:59.999000+00:00,XAGUSD,1w,17.435,17.656,15.071,15.299,3239.2,0
1218412800000,1219017599999,2008-08-11T00:00:00+00:00,2008-08-17T23:59:59.999000+00:00,XAGUSD,1w,15.261,15.457,12.188,12.895,3402.9,0
1219017600000,1219622399999,2008-08-18T00:00:00+00:00,2008-08-24T23:59:59.999000+00:00,XAGUSD,1w,12.961,13.965,12.309,13.216,3332.6,0
1219622400000,1220227199999,2008-08-25T00:00:00+00:00,2008-08-31T23:59:59.999000+00:00,XAGUSD,1w,13.311,13.992,12.845,13.612,3056.05,0
1220227200000,1220831999999,2008-09-01T00:00:00+00:00,2008-09-07T23:59:59.999000+00:00,XAGUSD,1w,13.719,13.784,11.958,12.446,3370.5,0
1220832000000,1221436799999,2008-09-08T00:00:00+00:00,2008-09-14T23:59:59.999000+00:00,XAGUSD,1w,12.431,12.748,10.125,10.934,3504.7,0
1221436800000,1222041599999,2008-09-15T00:00:00+00:00,2008-09-21T23:59:59.999000+00:00,XAGUSD,1w,11.021,12.935,10.192,12.609,3608.45,0
1222041600000,1222646399999,2008-09-22T00:00:00+00:00,2008-09-28T23:59:59.999000+00:00,XAGUSD,1w,12.632,13.736,12.27,13.135,3405.85,0
1222646400000,1223251199999,2008-09-29T00:00:00+00:00,2008-10-05T23:59:59.999000+00:00,XAGUSD,1w,13.041,13.317,10.584,11.185,3811.8,0
1223251200000,1223855999999,2008-10-06T00:00:00+00:00,2008-10-12T23:59:59.999000+00:00,XAGUSD,1w,11.144,12.338,9.252,10.189,5044.9999,0
1223856000000,1224460799999,2008-10-13T00:00:00+00:00,2008-10-19T23:59:59.999000+00:00,XAGUSD,1w,10.072,11.122,8.959,9.371,3234.75,0
1224460800000,1225065599999,2008-10-20T00:00:00+00:00,2008-10-26T23:59:59.999000+00:00,XAGUSD,1w,9.383,10.2,8.541,9.386,3521.65,0
1225065600000,1225670399999,2008-10-27T00:00:00+00:00,2008-11-02T23:59:59.999000+00:00,XAGUSD,1w,9.417,10.575,8.316,9.718,3214.1,0
1225670400000,1226275199999,2008-11-03T00:00:00+00:00,2008-11-09T23:59:59.999000+00:00,XAGUSD,1w,9.745,10.767,9.527,10.058,3229.25,0
1226275200000,1226879999999,2008-11-10T00:00:00+00:00,2008-11-16T23:59:59.999000+00:00,XAGUSD,1w,10.112,10.515,8.625,9.358,2982.2,0
1226880000000,1227484799999,2008-11-17T00:00:00+00:00,2008-11-23T23:59:59.999000+00:00,XAGUSD,1w,9.422,9.839,8.662,9.614,2906.7,0
1227484800000,1228089599999,2008-11-24T00:00:00+00:00,2008-11-30T23:59:59.999000+00:00,XAGUSD,1w,9.652,10.664,9.273,10.215,2489.6,0
1228089600000,1228694399999,2008-12-01T00:00:00+00:00,2008-12-07T23:59:59.999000+00:00,XAGUSD,1w,10.145,10.336,8.984,9.39,2770.35,0
1228694400000,1229299199999,2008-12-08T00:00:00+00:00,2008-12-14T23:59:59.999000+00:00,XAGUSD,1w,9.439,10.527,9.335,10.306,2708.55,0
1229299200000,1229903999999,2008-12-15T00:00:00+00:00,2008-12-21T23:59:59.999000+00:00,XAGUSD,1w,10.296,11.559,10.095,10.721,2729.1,0
1229904000000,1230508799999,2008-12-22T00:00:00+00:00,2008-12-28T23:59:59.999000+00:00,XAGUSD,1w,10.715,11.08,9.994,10.615,2128.15,0
1230508800000,1231113599999,2008-12-29T00:00:00+00:00,2009-01-04T23:59:59.999000+00:00,XAGUSD,1w,10.655,11.736,10.52,11.631,2289.15,0
1231113600000,1231718399999,2009-01-05T00:00:00+00:00,2009-01-11T23:59:59.999000+00:00,XAGUSD,1w,11.658,11.707,10.419,11.179,2864.95,0
1231718400000,1232323199999,2009-01-12T00:00:00+00:00,2009-01-18T23:59:59.999000+00:00,XAGUSD,1w,11.193,11.323,10.174,11.225,2764.9,0
1232323200000,1232927999999,2009-01-19T00:00:00+00:00,2009-01-25T23:59:59.999000+00:00,XAGUSD,1w,11.244,12.088,10.759,11.91,2806.25,0
1232928000000,1233532799999,2009-01-26T00:00:00+00:00,2009-02-01T23:59:59.999000+00:00,XAGUSD,1w,11.779,12.679,11.496,12.561,2880.25,0
